Trial Number,Old Image,New Image,Old Image Side,Key Pressed,Correct,Reaction Time,Condition,Timestamp
1,old_orange_img_072.png,new_orange_img_058.png,left,,False,3,A,2024-10-22 12:23:34
2,old_orange_img_097.png,new_orange_img_081.png,left,right,False,2.179539918899536,A,2024-10-22 12:23:36
3,old_white_img_049.png,new_white_img_088.png,left,left,True,0.6806080341339111,A,2024-10-22 12:23:38
4,old_orange_img_002.png,new_orange_img_077.png,right,right,True,0.7339167594909668,A,2024-10-22 12:23:39
5,old_orange_img_048.png,new_orange_img_084.png,left,left,True,0.7459149360656738,A,2024-10-22 12:23:41
6,old_orange_img_073.png,new_orange_img_002.png,left,left,True,1.3669400215148926,A,2024-10-22 12:23:43
7,old_orange_img_057.png,new_orange_img_046.png,left,left,True,1.140812873840332,A,2024-10-22 12:23:45
8,old_white_img_015.png,new_white_img_046.png,left,left,True,1.332197904586792,A,2024-10-22 12:23:47
9,old_orange_img_015.png,new_orange_img_010.png,right,right,True,0.7473459243774414,A,2024-10-22 12:23:49
10,old_white_img_017.png,new_white_img_004.png,right,right,True,1.2810640335083008,A,2024-10-22 12:23:50
11,old_orange_img_047.png,new_orange_img_085.png,right,left,False,1.462289810180664,A,2024-10-22 12:23:53
12,old_white_img_094.png,new_white_img_080.png,right,right,True,1.08259916305542,A,2024-10-22 12:23:55
13,old_white_img_027.png,new_white_img_049.png,left,left,True,1.6261019706726074,A,2024-10-22 12:23:57
14,old_orange_img_051.png,new_orange_img_038.png,right,left,False,1.5932319164276123,A,2024-10-22 12:23:59
15,old_orange_img_010.png,new_orange_img_006.png,left,right,False,1.4119689464569092,A,2024-10-22 12:24:01
16,old_orange_img_007.png,new_orange_img_072.png,right,left,False,1.4948573112487793,A,2024-10-22 12:24:03
17,old_white_img_032.png,new_white_img_052.png,right,right,True,1.4566841125488281,A,2024-10-22 12:24:05
18,old_white_img_031.png,new_white_img_044.png,right,left,False,1.412644863128662,A,2024-10-22 12:24:08
19,old_orange_img_001.png,new_orange_img_097.png,right,right,True,1.5023279190063477,A,2024-10-22 12:24:10
20,old_orange_img_068.png,new_orange_img_017.png,right,right,True,1.307847023010254,A,2024-10-22 12:24:12
21,old_orange_img_094.png,new_orange_img_100.png,left,left,True,1.6108109951019287,A,2024-10-22 12:24:14
22,old_white_img_095.png,new_white_img_088.png,left,right,False,1.7560560703277588,A,2024-10-22 12:24:17
23,old_white_img_055.png,new_white_img_048.png,right,,False,3,A,2024-10-22 12:24:21
24,old_orange_img_031.png,new_orange_img_061.png,left,,False,3,A,2024-10-22 12:24:24
25,old_white_img_090.png,new_white_img_071.png,right,,False,3,A,2024-10-22 12:24:28
26,old_white_img_053.png,new_white_img_042.png,right,right,True,1.7003331184387207,A,2024-10-22 12:24:31
27,old_white_img_070.png,new_white_img_018.png,left,right,False,0.009463071823120117,A,2024-10-22 12:24:31
28,old_white_img_041.png,new_white_img_063.png,right,right,True,0.301131010055542,A,2024-10-22 12:24:32
29,old_white_img_063.png,new_white_img_070.png,right,right,True,0.010444164276123047,A,2024-10-22 12:24:33
30,old_orange_img_041.png,new_orange_img_013.png,left,right,False,0.0050318241119384766,A,2024-10-22 12:24:34
31,old_white_img_085.png,new_white_img_004.png,right,right,True,0.7568707466125488,A,2024-10-22 12:24:35
32,old_orange_img_069.png,new_orange_img_083.png,right,right,True,0.008516073226928711,A,2024-10-22 12:24:36
33,old_orange_img_076.png,new_orange_img_013.png,left,,False,3,A,2024-10-22 12:24:39
34,old_orange_img_054.png,new_orange_img_005.png,right,right,True,2.6643712520599365,A,2024-10-22 12:24:43
35,old_orange_img_071.png,new_orange_img_098.png,left,right,False,0.6023149490356445,A,2024-10-22 12:24:44
36,old_white_img_058.png,new_white_img_086.png,left,right,False,0.28450512886047363,A,2024-10-22 12:24:45
37,old_white_img_061.png,new_white_img_086.png,right,right,True,0.24456191062927246,A,2024-10-22 12:24:46
38,old_white_img_029.png,new_white_img_030.png,right,right,True,0.20595502853393555,A,2024-10-22 12:24:47
39,old_white_img_088.png,new_white_img_074.png,left,right,False,0.1605520248413086,A,2024-10-22 12:24:47
40,old_orange_img_038.png,new_orange_img_084.png,right,right,True,0.07359695434570312,A,2024-10-22 12:24:48
41,old_white_img_076.png,new_white_img_055.png,left,right,False,1.3546860218048096,A,2024-10-22 12:24:50
42,old_white_img_047.png,new_white_img_038.png,left,right,False,0.26636290550231934,A,2024-10-22 12:24:51
43,old_orange_img_042.png,new_orange_img_002.png,left,right,False,0.003759145736694336,A,2024-10-22 12:24:51
44,old_orange_img_063.png,new_orange_img_064.png,right,right,True,0.004315853118896484,A,2024-10-22 12:24:52
45,old_white_img_100.png,new_white_img_014.png,left,right,False,0.003690958023071289,A,2024-10-22 12:24:52
46,old_white_img_006.png,new_white_img_093.png,right,right,True,0.0046541690826416016,A,2024-10-22 12:24:53
47,old_white_img_098.png,new_white_img_012.png,left,right,False,0.005684852600097656,A,2024-10-22 12:24:54
48,old_orange_img_040.png,new_orange_img_040.png,left,right,False,0.007413148880004883,A,2024-10-22 12:24:55
49,old_white_img_062.png,new_white_img_067.png,left,right,False,0.004317045211791992,A,2024-10-22 12:24:56
50,old_orange_img_059.png,new_orange_img_062.png,left,right,False,0.006415843963623047,A,2024-10-22 12:24:57
51,old_orange_img_077.png,new_orange_img_095.png,right,right,True,0.00279998779296875,A,2024-10-22 12:24:57
52,old_white_img_022.png,new_white_img_076.png,left,right,False,0.003194093704223633,A,2024-10-22 12:24:58
53,old_white_img_059.png,new_white_img_059.png,left,right,False,0.005068063735961914,A,2024-10-22 12:24:58
54,old_white_img_086.png,new_white_img_039.png,right,left,False,0.002900838851928711,A,2024-10-22 12:24:59
55,old_white_img_074.png,new_white_img_081.png,left,left,True,0.0048770904541015625,A,2024-10-22 12:24:59
56,old_orange_img_018.png,new_orange_img_015.png,left,left,True,0.0038967132568359375,A,2024-10-22 12:25:00
57,old_white_img_023.png,new_white_img_053.png,left,left,True,0.0039479732513427734,A,2024-10-22 12:25:00
58,old_orange_img_064.png,new_orange_img_081.png,right,left,False,0.002974987030029297,A,2024-10-22 12:25:01
59,old_orange_img_045.png,new_orange_img_065.png,right,right,True,0.006911039352416992,A,2024-10-22 12:25:02
60,old_orange_img_050.png,new_orange_img_083.png,right,right,True,0.004010200500488281,A,2024-10-22 12:25:03
61,old_orange_img_037.png,new_orange_img_041.png,left,right,False,0.006433963775634766,A,2024-10-22 12:25:04
62,old_orange_img_014.png,new_orange_img_022.png,left,right,False,0.004152059555053711,A,2024-10-22 12:25:04
63,old_orange_img_080.png,new_orange_img_080.png,right,right,True,0.0031633377075195312,A,2024-10-22 12:25:05
64,old_white_img_010.png,new_white_img_067.png,left,right,False,0.0028879642486572266,A,2024-10-22 12:25:05
65,old_white_img_037.png,new_white_img_069.png,left,right,False,0.005545377731323242,A,2024-10-22 12:25:06
66,old_orange_img_060.png,new_orange_img_030.png,left,right,False,0.005944967269897461,A,2024-10-22 12:25:06
67,old_white_img_011.png,new_white_img_052.png,right,right,True,0.0037953853607177734,A,2024-10-22 12:25:07
68,old_orange_img_036.png,new_orange_img_082.png,right,right,True,0.007278919219970703,A,2024-10-22 12:25:08
69,old_orange_img_029.png,new_orange_img_074.png,right,left,False,0.006504058837890625,A,2024-10-22 12:25:09
70,old_orange_img_067.png,new_orange_img_039.png,right,right,True,0.007605075836181641,A,2024-10-22 12:25:10
71,old_white_img_030.png,new_white_img_070.png,left,right,False,0.007958650588989258,A,2024-10-22 12:25:11
72,old_orange_img_086.png,new_orange_img_039.png,left,right,False,0.00685429573059082,A,2024-10-22 12:25:12
73,old_white_img_003.png,new_white_img_086.png,right,right,True,0.0025892257690429688,A,2024-10-22 12:25:12
74,old_orange_img_021.png,new_orange_img_068.png,right,right,True,0.003979921340942383,A,2024-10-22 12:25:13
75,old_orange_img_084.png,new_orange_img_041.png,left,right,False,0.005177974700927734,A,2024-10-22 12:25:13
76,old_white_img_043.png,new_white_img_084.png,left,right,False,0.005522012710571289,A,2024-10-22 12:25:14
77,old_orange_img_027.png,new_orange_img_079.png,left,right,False,0.00527501106262207,A,2024-10-22 12:25:15
78,old_white_img_092.png,new_white_img_029.png,right,right,True,0.005942821502685547,A,2024-10-22 12:25:15
79,old_orange_img_013.png,new_orange_img_093.png,left,right,False,0.007369041442871094,A,2024-10-22 12:25:17
80,old_orange_img_098.png,new_orange_img_086.png,right,right,True,0.004881858825683594,A,2024-10-22 12:25:17
81,old_white_img_096.png,new_white_img_069.png,left,right,False,0.0039370059967041016,A,2024-10-22 12:25:18
82,old_orange_img_005.png,new_orange_img_085.png,left,right,False,0.006400108337402344,A,2024-10-22 12:25:19
83,old_orange_img_091.png,new_orange_img_039.png,right,right,True,0.004685878753662109,A,2024-10-22 12:25:20
84,old_white_img_005.png,new_white_img_085.png,right,right,True,0.0067119598388671875,A,2024-10-22 12:25:21
85,old_white_img_057.png,new_white_img_093.png,left,right,False,0.0053558349609375,A,2024-10-22 12:25:22
86,old_white_img_042.png,new_white_img_089.png,left,right,False,0.004631996154785156,A,2024-10-22 12:25:22
87,old_orange_img_062.png,new_orange_img_089.png,right,right,True,0.00569605827331543,A,2024-10-22 12:25:23
88,old_orange_img_090.png,new_orange_img_028.png,left,right,False,0.005326032638549805,A,2024-10-22 12:25:24
89,old_white_img_066.png,new_white_img_068.png,left,right,False,0.0072019100189208984,A,2024-10-22 12:25:25
90,old_white_img_026.png,new_white_img_071.png,left,right,False,0.006527900695800781,A,2024-10-22 12:25:25
91,old_orange_img_083.png,new_orange_img_023.png,left,right,False,0.004824161529541016,A,2024-10-22 12:25:26
92,old_orange_img_030.png,new_orange_img_073.png,left,right,False,0.0062711238861083984,A,2024-10-22 12:25:27
93,old_orange_img_032.png,new_orange_img_010.png,left,right,False,0.0038232803344726562,A,2024-10-22 12:25:28
94,old_white_img_012.png,new_white_img_037.png,right,right,True,0.0038368701934814453,A,2024-10-22 12:25:28
95,old_orange_img_056.png,new_orange_img_070.png,left,right,False,0.006821870803833008,A,2024-10-22 12:25:29
96,old_white_img_020.png,new_white_img_068.png,left,right,False,0.00452113151550293,A,2024-10-22 12:25:30
97,old_white_img_014.png,new_white_img_006.png,right,left,False,0.0023658275604248047,A,2024-10-22 12:25:31
