Subject Code,Condition,Trial Number,Epoch,Chosen Color,Orange First,Stimulus Position,Key Pressed,Reaction Time,Feedback Received,Chosen Image,Most Rewarded Stimulus in Epoch,Image Left,Image Right,Mood Slider Value,Video Type,Video File Name
subject_1,B,1,1,White,False,Right,Left,3.3764359951019287,True,old_white_img_063.png,white,old_white_img_063.png,old_orange_img_059.png,,nosurprise,noeffect_6.mov
subject_1,B,2,1,White,False,Left,Right,0.9589378833770752,True,old_white_img_059.png,white,old_orange_img_051.png,old_white_img_059.png,,nosurprise,
subject_1,B,3,1,White,False,Right,Left,1.0506341457366943,True,old_white_img_064.png,white,old_white_img_064.png,old_orange_img_058.png,,nosurprise,
subject_1,B,4,1,White,False,Left,Right,0.9621949195861816,True,old_white_img_051.png,white,old_orange_img_055.png,old_white_img_051.png,70,nosurprise,
subject_1,B,5,1,White,False,Right,Left,1.1547620296478271,True,old_white_img_076.png,white,old_white_img_076.png,old_orange_img_084.png,,nosurprise,
subject_1,B,6,1,White,False,Left,Right,0.7212669849395752,False,old_white_img_061.png,white,old_orange_img_079.png,old_white_img_061.png,,nosurprise,
subject_1,B,7,1,White,False,Right,Left,0.9471020698547363,True,old_white_img_058.png,white,old_white_img_058.png,old_orange_img_068.png,,nosurprise,
subject_1,B,8,1,White,False,Right,Left,0.698814868927002,True,old_white_img_080.png,white,old_white_img_080.png,old_orange_img_097.png,30,nosurprise,
subject_1,B,9,1,White,False,Left,Right,0.7639491558074951,True,old_white_img_077.png,white,old_orange_img_070.png,old_white_img_077.png,,nosurprise,
subject_1,B,10,1,White,False,Left,Right,0.8378758430480957,True,old_white_img_068.png,white,old_orange_img_085.png,old_white_img_068.png,,nosurprise,
subject_1,B,11,1,White,False,Left,Right,1.9187049865722656,True,old_white_img_057.png,white,old_orange_img_089.png,old_white_img_057.png,,nosurprise,noeffect_10.mov
subject_1,B,12,1,White,False,Left,Right,0.6589679718017578,True,old_white_img_066.png,white,old_orange_img_078.png,old_white_img_066.png,40,nosurprise,
subject_1,B,13,1,White,False,Right,Left,0.9410030841827393,True,old_white_img_094.png,white,old_white_img_094.png,old_orange_img_071.png,,nosurprise,
subject_1,B,14,1,White,False,Right,Left,0.6481866836547852,True,old_white_img_078.png,white,old_white_img_078.png,old_orange_img_095.png,,nosurprise,
subject_1,B,15,1,White,False,Left,Right,0.6751890182495117,True,old_white_img_098.png,white,old_orange_img_053.png,old_white_img_098.png,,nosurprise,
