Trial Number,Old Image,New Image,Old Image Side,Key Pressed,Correct,Reaction Time,Condition,Timestamp
1,old_white_img_002.png,new_white_img_001.png,right,left,False,1.3642818927764893,A,2024-10-22 12:41:42
2,old_orange_img_012.png,new_orange_img_032.png,right,left,False,1.5849010944366455,A,2024-10-22 12:41:45
3,old_orange_img_002.png,new_orange_img_058.png,left,left,True,0.9416859149932861,A,2024-10-22 12:41:47
4,old_orange_img_016.png,new_orange_img_049.png,right,right,True,1.3925349712371826,A,2024-10-22 12:41:50
5,old_white_img_097.png,new_white_img_011.png,left,left,True,1.1271600723266602,A,2024-10-22 12:41:52
6,old_orange_img_009.png,new_orange_img_021.png,right,right,True,1.1917829513549805,A,2024-10-22 12:41:55
7,old_orange_img_086.png,new_orange_img_011.png,right,left,False,1.788658857345581,A,2024-10-22 12:41:58
8,old_white_img_008.png,new_white_img_007.png,left,left,True,1.5400800704956055,A,2024-10-22 12:42:00
9,old_white_img_084.png,new_white_img_021.png,right,left,False,2.4930169582366943,A,2024-10-22 12:42:04
10,old_white_img_040.png,new_white_img_021.png,right,,False,3,A,2024-10-22 12:42:08
11,old_orange_img_013.png,new_orange_img_006.png,right,left,False,1.292876958847046,A,2024-10-22 12:42:10
12,old_orange_img_003.png,new_orange_img_049.png,left,left,True,1.7377290725708008,A,2024-10-22 12:42:14
13,old_orange_img_031.png,new_orange_img_056.png,right,right,True,1.3656549453735352,A,2024-10-22 12:42:16
14,old_white_img_026.png,new_white_img_035.png,left,left,True,1.1721007823944092,A,2024-10-22 12:42:18
15,old_white_img_081.png,new_white_img_020.png,left,right,False,2.2757749557495117,A,2024-10-22 12:42:22
16,old_white_img_067.png,new_white_img_092.png,right,right,True,1.8466639518737793,A,2024-10-22 12:42:25
17,old_orange_img_076.png,new_orange_img_058.png,left,left,True,1.914557933807373,A,2024-10-22 12:42:28
18,old_orange_img_083.png,new_orange_img_041.png,left,right,False,1.5946569442749023,A,2024-10-22 12:42:31
19,old_white_img_009.png,new_white_img_027.png,left,left,True,1.6605579853057861,A,2024-10-22 12:42:34
20,old_orange_img_036.png,new_orange_img_025.png,right,right,True,1.2142531871795654,A,2024-10-22 12:42:36
21,old_white_img_077.png,new_white_img_026.png,right,right,True,1.9723670482635498,A,2024-10-22 12:42:39
22,old_orange_img_014.png,new_orange_img_069.png,left,left,True,2.1457769870758057,A,2024-10-22 12:42:43
23,old_orange_img_096.png,new_orange_img_048.png,right,right,True,2.0226590633392334,A,2024-10-22 12:42:46
24,old_orange_img_010.png,new_orange_img_027.png,left,left,True,2.2678089141845703,A,2024-10-22 12:42:49
25,old_orange_img_099.png,new_orange_img_010.png,right,left,False,0.9541471004486084,A,2024-10-22 12:42:51
26,old_orange_img_034.png,new_orange_img_028.png,left,right,False,1.5661249160766602,A,2024-10-22 12:42:54
27,old_white_img_056.png,new_white_img_002.png,left,right,False,2.5241000652313232,A,2024-10-22 12:42:58
28,old_orange_img_024.png,new_orange_img_036.png,left,left,True,2.6306469440460205,A,2024-10-22 12:43:02
29,old_white_img_087.png,new_white_img_024.png,right,left,False,2.060215950012207,A,2024-10-22 12:43:05
